(TDU Delivery Charges per kWh ($)),ONCOR,CENTERPOINT ENERGY,AEP TEXAS CENTRAL,AEP TEXAS NORTH,"TEXAS - NEW  MEXICO POWER","LUBBOCK  POWER AND LIGHT"
Distribution System Charge,0.025344,0.02324,0.032966,0.032966,0.02567,0.05628
Franchise Fee,0,0,0,0,0,0.00517
Nuclear Decommissioning Fee,0,0.000013,0,0,0,0
Transmission Cost Recovery Factor (TCRF),0.02358,0.029265,0.021383,0.021383,0.027703,0
Distribution Cost Recovery Factory (DCRF),0.005772,0.003198,0.002712,0.002712,0.017724,0
Temporary Emergency Electric Energy Facilities (TEEEF),0,0.002392,0.0011,0.0011,0,0
Transition Charge,0,0,0,0,0,0.00167
Rate Case Expense (RCE),0,0.000048,0,0,0,0
System Restoration Charge (SRC),0,0.00111,0.001402,0,0,0
Adjusted Federal Income Tax Credit (ADFIT),0,-0.000187,-0.000072,0,0,0
Energy Efficiency Cost Recovery Factor (EECRF),0.001137,0.00093,0.001072,0.001072,0.001273,0
Total TDU Charges Per kWh:,0.055833,0.060009,0.060563,0.059233,0.07237,0.06312
