"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[YRACURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]","[Language]","[Rating]"
"618","AEP TEXAS CENTRAL","NEC Co-op Energy","Residential Electricity... Plain and simple.","0.1600","0.1490","0.1440","","False","False","0","Variable","17","0","0.00","https://neccoopenergy.com/","$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.","https://neccoopenergy.com/wp-content/uploads/2024/08/NEC-Co-op-Energy-Residential-IOU-Variable-Product-TOS-ENG-rev-4-18-24-added-Lubbock74.pdf","https://neccoopenergy.com/wp-content/uploads/2024/08/NEC-Co-op-Energy-Residential-IOU-Variable-Product-YRAC-ENG-rev-4-19-24-added-Lubbock31.pdf","False","","https://neccoopenergy.com/wp-content/uploads/2025/12/EFL-1-1-26-RESIDENTIAL-AEP-TCC.pdf","https://neccoopenergy.com/residential-service/","","(855) 632-7348","FALSE","FALSE","English","5"
"11677","AEP TEXAS CENTRAL","CIRRO ENERGY","Smart Simple 36","0.1610","0.1570","0.1560","","False","False","1","Fixed","24","36","395.00","https://www.cirroenergy.com","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only","https://www.cirroenergy.com/files/09017518836818ee.pdf","https://www.cirroenergy.com/files/0901751883594fa4.pdf","False","","https://www.cirroenergy.com/defl/M1F00175410859B.pdf","https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 417-7180","TRUE","FALSE","English","3"
"11682","AEP TEXAS CENTRAL","CIRRO ENERGY","Smart Simple 12","0.1580","0.1540","0.1530","","False","False","1","Fixed","24","12","150.00","https://www.cirroenergy.com","Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only","https://www.cirroenergy.com/files/09017518836818ee.pdf","https://www.cirroenergy.com/files/0901751883594fa4.pdf","False","","https://www.cirroenergy.com/defl/M1F00175410791B.pdf","https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(844) 417-7180","TRUE","FALSE","English","3"
"12406","AEP TEXAS CENTRAL","CONSTELLATION NEWENERGY INC","12 Month Usage Bill Credit","0.1750","0.1370","0.1460","Constellation will automatically apply a $35 bill credit to your invoice for each billing cycle where usage is at least 1000 kWh. An additional $15 bill credit will be applied when usage reaches 2000 kWh","False","False","1","Fixed","26","12","150.00","https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html","","https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4863298","https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4863292","False","","https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4906247","https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html?UTM_source=powertochoose.org&UTM_medium=referral","","(855) 797-8465","FALSE","TRUE","English","4"
"13192","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-16","0.1520","0.1490","0.1470","","False","False","1","Fixed","26","16","250.00","http://www.championenergyservices.com/","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_103023.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2409&state=TX&language=EN","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","English","5"
"16521","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-12","0.1550","0.1520","0.1500","","False","False","1","Fixed","26","12","150.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptcl12","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_103023.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2413&state=TX&language=EN","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","English","5"
"16523","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-24","0.1580","0.1550","0.1530","","False","False","1","Fixed","26","24","250.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptcl24","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_103023.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2418&state=TX&language=EN","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","English","5"
"16591","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-12","0.1550","0.1520","0.1500","","False","False","1","Fixed","26","12","150.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptcl12","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424-ES-US.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_ES.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2413&state=TX&language=ES","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","Spanish","5"
"16595","AEP TEXAS CENTRAL","CHAMPION ENERGY SERVICES LLC","Champ Saver-24","0.1580","0.1550","0.1530","","False","False","1","Fixed","26","24","250.00","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose&agentid=ptcl24","","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/CES-TX-TOS-062424-ES-US.pdf","https://champion-cdn-a8c0crgta3hkfpa3.a02.azurefd.net/assets/pdfs/YRAC_ES.pdf","False","","https://docs.championenergyservices.com/ExternalDocs?planname=PN2418&state=TX&language=ES","https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose","","(877) 653-5090","FALSE","FALSE","Spanish","5"
"17375","AEP TEXAS CENTRAL","Discount Power","Saver 12","0.1570","0.1530","0.1520","","False","False","1","Fixed","24","12","150.00","https://www.discountpowertx.com","Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135.","https://www.discountpowertx.com/files/0901751883681d09.pdf","https://www.discountpowertx.com/files/0901751883594fa5.pdf","False","","https://www.discountpowertx.com/defl/M1F00175410951B.pdf","https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None","","(855) 265-9153","TRUE","FALSE","English","3"
