plan_id,plan_name,rep_name,tdu_area,rate_type,term_months,price_kwh_500,price_kwh_1000,price_kwh_2000,base_charge_monthly,early_termination_fee,renewable_pct,is_prepaid,is_tou,special_terms,efl_url,enrollment_url
618,Residential Electricity... Plain and simple.,NEC Co-op Energy,AEP_CENTRAL,VARIABLE,0,16.0,14.899999999999999,14.399999999999999,0.0,0.0,17,False,False,"$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.",https://neccoopenergy.com/wp-content/uploads/2025/12/EFL-1-1-26-RESIDENTIAL-AEP-TCC.pdf,https://neccoopenergy.com/residential-service/
11677,Smart Simple 36,CIRRO ENERGY,AEP_CENTRAL,FIXED,36,16.1,15.7,15.6,0.0,395.0,24,False,False,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",https://www.cirroenergy.com/defl/M1F00175410859B.pdf,https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None
11682,Smart Simple 12,CIRRO ENERGY,AEP_CENTRAL,FIXED,12,15.8,15.4,15.299999999999999,0.0,150.0,24,False,False,"Paperless eBill and Bill Alert Options ::: 24/7 Local Customer Service ::: NO FEES for VISA, DISCOVER & MC::: Easy Online Account Access ::: This offer is for new customers only",https://www.cirroenergy.com/defl/M1F00175410791B.pdf,https://www.cirroenergy.com/lp/ptcZipCodeSearch?tdsp_code=D0004&promo_code=WA198B&txtPromocode=WA198B&fromLP=ptc&sid=APTC_1685677096&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None
12406,12 Month Usage Bill Credit,CONSTELLATION NEWENERGY INC,AEP_CENTRAL,FIXED,12,17.5,13.700000000000001,14.6,0.0,150.0,26,False,False,,https://www.constellation.com/bin/residential/GetContractVersionPDF?versionNum=4906247,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html?UTM_source=powertochoose.org&UTM_medium=referral
13192,Champ Saver-16,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,16,15.2,14.899999999999999,14.7,0.0,250.0,26,False,False,,https://docs.championenergyservices.com/ExternalDocs?planname=PN2409&state=TX&language=EN,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose
16521,Champ Saver-12,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,12,15.5,15.2,15.0,0.0,150.0,26,False,False,,https://docs.championenergyservices.com/ExternalDocs?planname=PN2413&state=TX&language=EN,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose
16523,Champ Saver-24,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,24,15.8,15.5,15.299999999999999,0.0,250.0,26,False,False,,https://docs.championenergyservices.com/ExternalDocs?planname=PN2418&state=TX&language=EN,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose
16591,Champ Saver-12,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,12,15.5,15.2,15.0,0.0,150.0,26,False,False,,https://docs.championenergyservices.com/ExternalDocs?planname=PN2413&state=TX&language=ES,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose
16595,Champ Saver-24,CHAMPION ENERGY SERVICES LLC,AEP_CENTRAL,FIXED,24,15.8,15.5,15.299999999999999,0.0,250.0,26,False,False,,https://docs.championenergyservices.com/ExternalDocs?planname=PN2418&state=TX&language=ES,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose
17375,Saver 12,Discount Power,AEP_CENTRAL,FIXED,12,15.7,15.299999999999999,15.2,0.0,150.0,24,False,False,"Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135.",https://www.discountpowertx.com/defl/M1F00175410951B.pdf,https://shop.discountpowertx.com/offer-selection/?txtPromocode=WQ4131&tdspCode=D0004&fromLP=ptc&sid=APTC_1686090020&utm_campaign=Power+To+Choose+Listings&utm_medium=PTC_&utm_source=None
